结果时间,源节点名称,源测试地址,源信息: 分组名,目的节点名称,目的测试地址,目的信息: 分组名,解析时间,连接时间,首字节时间,首屏打开时间,下载时间,页面加载时间,总时间,吞吐率,综合质量,解析成功率,连接成功率,首页加载成功率,加载比例,成功率,结果 IP 地址,结果国家名称,结果省名称,结果归属地,下载大小,内容大小,返回码,附加项,元素数量
2013-05-18 00:00.,2008,222.50.124.74,NULL,6.cn,6.cn,NULL,0.23,36.92,37.03,257.12,3255.32,4497.19,4875.8,192.75,81.6,100,94.12,100,94.12,100,122.70.137.200,中国,北京, 铁通,627.5,616.5,302,34,34
2013-05-18 00:00.,1005,222.50.124.34,NULL,lxdns.com,lxdns.com,广东铁通TOPn网站,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-05-18 00:00.,2009,222.50.124.78,NULL,people.com.cn,people.com.cn,NULL,0.49,64.51,110.92,369.6,9202.01,15310.09,16858.14,84.9,56.2,100,100,100,100,100,124.95.142.214,中国,辽宁, 联通,781.2,739.6,200,50,127
2013-05-18 00:00.,2007,222.50.124.70,NULL,xiu.com,xiu.com,NULL,0.45,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,100,0,0,0,0,120.132.144.6,中国,北京, 其它运营商,NULL,NULL,NULL,1,1
2013-05-18 00:00.,2018,222.50.124.114,NULL,http://www.anquanweb.com/,http://www.anquanweb.com/,NULL,0.26,22.9,26.53,119.31,1070.72,1470.84,1518.69,42.79,67.3,100,100,100,100,100,223.4.24.61,中国,浙江, 移动,45.8,40.2,200,17,17
2013-05-18 00:00.,2011,222.50.124.86,NULL,xiaoshuo520.com,xiaoshuo520.com,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-05-18 00:00.,2012,222.50.124.90,NULL,bendibao.com,bendibao.com,NULL,0.41,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,100,0,0,0,0,183.60.137.16,中国,广东, 电信,NULL,NULL,NULL,1,1
2013-05-18 00:00.,1001,222.50.124.2,NULL,wan5d.com,wan5d.com,NULL,0.21,0.93,105.07,202.16,1686.08,2221.39,2325.44,75.88,64.2,100,100,100,100,100,122.226.64.17,中国,浙江, 电信,127.9,123.7,200,16,16
2013-05-18 00:00.,2004,222.50.124.58,NULL,pcgames.com.cn,pcgames.com.cn,NULL,0.46,40.65,89.78,385.73,1224.05,1270.43,1642.35,382.14,88.5,100,97.44,100,97.44,100,219.136.245.40,中国,广东, 电信,467.8,446.1,301,39,39
2013-05-18 00:00.,2006,222.50.124.66,NULL,ccidnet.com,ccidnet.com,NULL,0.48,37.09,3046.5,3388.17,50477.82,53215.31,56858.93,20.48,20.9,100,100,100,100,0,118.145.25.32,中国,北京, 移动,1033.6,1525.1,200,50,103
2013-05-18 00:00.,2004,222.50.124.58,NULL,naqigs.com,naqigs.com,NULL,0.55,58.79,85.32,264.14,5395.7,6262.56,6917.44,153.7,69.3,100,100,100,100,100,114.112.69.52,中国,江苏, 移动,829.3,822.6,200,25,25
2013-05-18 00:00.,1001,222.50.124.2,NULL,ctrip.com,ctrip.com,NULL,0.46,47.35,50.87,336.69,1052.41,1470.79,1470.79,102.62,72.1,100,100,100,100,100,210.13.114.3,中国,上海, 联通,108,104.5,301,9,9
2013-05-18 00:00.,1011,222.50.124.10,NULL,52pk.net,52pk.net,NULL,1.07,32.46,32.64,205.06,30729.64,31924.95,31924.95,11.71,37.1,100,84.62,100,28.45,0,115.182.53.19,中国,北京, 移动,360,347.2,301,39,116
2013-05-18 00:00.,1015,222.50.124.54,NULL,iciba.com,iciba.com,NULL,0.44,30.89,31.01,220.6,521.36,788.55,788.55,147.68,80.8,100,100,100,100,100,58.68.226.32,中国,北京, 移动,77,74.2,301,8,8
2013-05-18 00:00.,2003,123.89.176.38,NULL,51yes.com,51yes.com,广东铁通TOPn网站,0.42,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,100,0,0,0,0,119.147.114.19,中国,广东, 电信,NULL,0,400,1,1
2013-05-18 00:00.,2016,222.50.124.106,NULL,google.co.uk,google.co.uk,NULL,0.72,98.24,100.22,510.13,691.62,1071.68,1071.68,81.14,67.5,100,100,100,100,100,173.194.72.94,美国,NULL, 其它运营商,56.1,54.4,301,4,4
2013-05-18 00:00.,2003,123.89.176.38,NULL,17173.com,17173.com,广东铁通TOPn网站,0.69,32.44,32.89,314.03,1882.75,2383.97,2644.37,367.19,88.4,100,100,100,100,100,61.135.181.176,中国,北京, 联通,691.3,679.3,302,33,33
2013-05-18 00:00.,1013,222.50.124.26,NULL,allyes.com,allyes.com,广东铁通TOPn网站,0.21,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,100,0,0,0,0,116.246.18.251,中国,上海, 电信,NULL,NULL,NULL,1,1
